ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short Description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (g),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tag,Shipping class,Image,Cross-sells,External URL,Button text,Position,Brand,product_barcode,item_group,item_subgroup,shipping_operation,NSW,WA,VIC,TAS,NT,QLD,ACT,SA,Price Range1,Price Range3,Price Range4,Price Range5,Price Range6,Price Range7,Price Range8,Price Range9,Price Range10
,simple,CC1010-AB,Levede 2 in 1 Bathroom Tallboy Furniture Toilet Storage Cabinet Laundry Cupboard,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Made of durable MDF Board that have low formaldehyde level, which is non-harmful to the users.</p>
<p>Making you an environmentally responsible consumer in a way.&nbsp;When you have limited space to use, this wall cabinet is the ideal solution to have to utilise your bathroom.</p>
<p>Making sure you have the storage for every little things you have to get yourself ready for the day! Get both in one go.</p>
<ul>
<li>Key feaures include:</li>
<li>Space saving design</li>
<li>Contemporary and stylish</li>
<li>Durable and practical</li>
<li>Eco-friendly and non-irritating</li>
<li>Solid MDF construction</li>
<li>Magnetic door shut</li>
<li>Easy to assemble</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material: MDF </li>
<li>Overall dimensions:40(L)X30(W)X170(H)cm/15.7&rdquo;x11.8&rdquo;x66.9&rdquo;</li>
<li>Color: White</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x Bathroom Storage Cabinet</li>
</ul>",,,taxable,Taxable Goods,0,10,5,,1,15600,105,69.5,45,1,,134.99,299,"Default Category/All Products,Default Category/Home & Garden,Default Category/Furniture,Default Category/Furniture/Cabinets & Cupboards",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2325.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2210.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2167.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2219.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2218.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2135.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle1_1314.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_2168.jpg",,,,,Levede,9.36E+12,Bathroom,Bathroom Storage Cabinet,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CH1007-4-WH,Levede 4x Retro Replica PU Leather Dining Chair Office Cafe Lounge Chairs,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Add a touch of designer status to your dining area with our iconic set of Eames Replica Eiffel dining chairs.</p>
<p>Ever since these much discoursed dining chairs made their eminent debut in 1950 from Charles and Ray Eames, they have stood the test of time and style to become a symbol of minimalistic design for our contemporary homes.</p>
<p>Crafted with precision and care, the Eames Replica Eiffel dining chair remains the seat of choice for the discerning modernista.&nbsp; &nbsp;</p>
<p>&nbsp;</p>
<p>Key Features include:</p>
<ul>
<li>Eames Replica Eiffel dining chair</li>
<li>Premium PU leather&nbsp;seat</li>
<li>Ultra Strong Wooden legs</li>
<li>Improved hardware inserts</li>
<li>Felt floor protectors</li>
<li>Easy to assemble</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Overall dimensions: 86x42x46cm</li>
<li>Colours: white</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>4x Dining Chair</li>
<li>1 x Assembly Manual</li>
</ul>",2/10/2020,,taxable,Taxable Goods,0,10,5,,1,20000,60,56,47,1,,161.99,419,"Default Category/All Products,Default Category/Home & Garden,Default Category/Furniture,Default Category/Furniture/Tables & Chairs",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2521.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2406.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2362.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2415.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2414.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2331.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle2_128.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_2365.jpg",,,,,Levede,9.36E+12,Dining Room,Dining Chair,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CH1023,Levede Storage Ottoman Blanket Box Fabric Rest Chest Toy Foot Stool Bed Bench,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Need a better storage space with taste? Our luxury multi-functional ottoman might be your best choise! Made of natural linen fabric, filled with high density of foam, our ottoman is super soft to rest on and adds a plush touch to any room. It also provides neat storage space for your home essentials. Blankets, pillows, magazines and even toys can be stowed away much easier. You can use it as storage, bench, toy chest, ottoman, foot Stool, and so on.</p>
<p>Attention: Due to lighting effect ,the actual colors may slightly differ form the picture, thanks.</p>
<ul>
<li>Extra Large Ottoman (much deeper)</li>
<li>Eco-friendly: made of Pollution-free material</li>
<li>Durable and sturdy</li>
<li>Practical: Great size as ottoman stool, storage chests footrest, etc.</li>
<li>Versatile: Great for storing blankets, cushions, books, travel items, etc.</li>
<li>Sleek foam edges: prevent kids from getting hurt, much safer</li>
<li>Heavy duty: Top lid support by durable metal hinge, more powerful</li>
<li>Fixed on with detachable legs</li>
<li>Anti slip feet: Give your ottoman extra grip and prevent scratches on floor</li>
<li>Modern stylish style blends seamlessly with any room</li>
<li>Easy to Assemble</li>
<li>1 Year Warranty</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material: Fabric, Metal</li>
<li>Colour: Blue</li>
<li>Style: Modern, contemporary</li>
<li>Room: Living Room, Bedroom, Kids Room, Study</li>
<li>Overall Dimension: 101x40x42(LxWxH)cm</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x Storage Ottoman</li>
<li>1x User Manual</li>
</ul>",8/13/2020,,taxable,Taxable Goods,1,10,5,,1,12700,103,42,36,1,,125.99,299,"Default Category/All Products,Default Category/Home & Garden,Default Category/Home & Garden/Cleaning,Default Category/Home & Garden/Housekeeping",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2541.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2426.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2379.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2435.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2434.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2351.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle2_143.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_2383.jpg",,,,,Levede,9.36E+12,Bedroom,Storage Ottoman,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CH1023-DG,Levede Storage Ottoman Blanket Box Fabric Large Rest Chest Toy Foot Stool Grey,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>Need a better storage space with taste? Our luxury multi-functional ottoman might be your best choise! Made of natural linen fabric, filled with high density of foam, our ottoman is super soft to rest on and adds a plush touch to any room. It also provides neat storage space for your home essentials. Blankets, pillows, magazines and even toys can be stowed away much easier. You can use it as storage, bench, toy chest, ottoman, foot Stool, and so on.</p>
<p>Attention: Due to lighting effect ,the actual colors may slightly differ form the picture, thanks.</p>
<ul>
<li>Extra Large Ottoman (much deeper)</li>
<li>Eco-friendly: made of Pollution-free material</li>
<li>Durable and sturdy</li>
<li>Practical: Great size as ottoman stool, storage chests footrest, etc.</li>
<li>Versatile: Great for storing blankets, cushions, books, travel items, etc.</li>
<li>Sleek foam edges: prevent kids from getting hurt, much safer</li>
<li>Heavy duty: Top lid support by durable metal hinge, more powerful</li>
<li>Fixed on with detachable legs</li>
<li>Anti slip feet: Give your ottoman extra grip and prevent scratches on floor</li>
<li>Modern stylish style blends seamlessly with any room</li>
<li>Easy to Assemble</li>
<li>1 Year Warranty</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material: Fabric, Metal</li>
<li>Colour: Dark Grey</li>
<li>Style: Modern, contemporary</li>
<li>Room: Living Room, Bedroom, Kids Room, Study</li>
<li>Overall Dimension: 101x40x42(LxWxH)cm</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x Storage Ottoman</li>
<li>1x User Manual</li>
</ul>",,,taxable,Taxable Goods,0,10,5,,1,12700,103,42,36,1,,125.99,299,Default Category/All Products,,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2542.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2427.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2380.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2436.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2435.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2352.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle2_144.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_2384.jpg",,,,,Levede,9.36E+12,Bedroom,Linen Fabric Blanket,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CK1016,Large Modern 3D Crystal Wall Clock Luxury Black Glass Round Dial Home Office,Yes,Yes,visible,,"<b>DESCRIPTION</b><p>This fashionable crystal sunburst wall clock looks luxury and noble, it's full of art atmosphere. It will take you to experience a happy life.</p>
<ul>
<li>Number dial, Silent Non-ticking, high quality quartz battery operated movement.</li>
<li>Iron frame &amp; crystals are made in blue and transparency finish to give modern beauty to your decor</li>
<li>Glow in night</li>
<li>Back nail slot offers easy installation</li>
<li>An elegant wall clock for living room, bed room, study room and office space.</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Material: Metal Frame+Glass Dial +Crystal</li>
<li>Total Size: 60x60cm</li>
<li>Dial Size: 24x24cm</li>
<li>This clock requires 1 AA battery (NOT INCLUDED)</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x Crystal Wall Clock</li>
<li>2 x Hooks</li>
</ul>",2/10/2020,,taxable,None,0,10,5,,1,2200,64,64,7.5,1,,35.64,149,Default Category/All Products,,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2597.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2482.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2434.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2491.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2490.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2407.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle1_1353.jpg,https://www.idropship.com.au/pub/media/catalog/product/L/i/Lifestyle_2440.jpg",,,,,Unbranded,9.36E+12,Living Room,Wall Clock,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CL1001-300LED-COOL,300 LED Curtain Fairy String Lights Wedding Outdoor Xmas Party Lights Cool White,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Very low energy consumption and long lasting LED lights</li>
<li>Waterproof(IP44) and can be used indoors or outdoors</li>
<li>Control box with 8 different lighting pattern function</li>
<li>Blink patterns: Combination, in waves, sequential, sloglo, chasing/flash, slow fade, winkle/flash&nbsp;and steady on</li>
<li>Very easy to set up and pack away</li>
<li>High quality and Australian safety certified</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Power Input: 100-240V, 50/60Hz</li>
<li>Power Adapter Output: 31V, 270mA 8.4W</li>
<li>Material:&nbsp;Waterproof High Quality PVC</li>
<li>Light Material:&nbsp;LED</li>
<li>Light Quantity: 300</li>
<li>Colour: Cool White</li>
<li>Total Length: 12m&nbsp;&nbsp;</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x 300 LED Icicle Lights</li>
<li>1x User Manual</li>
</ul>",4/14/2020,,taxable,None,1,10,5,,1,600,25,20,13,1,,35.1,99,"Default Category/All Products,Default Category/Christmas",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2598.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2483.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2435.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2492.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2491.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2408.jpg",,,,,Emitto,9.36E+12,Christmas,String Light,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CL1001-300LED-WARM,300 LED Curtain Fairy String Lights Wedding Outdoor Xmas Party Lights Warm White,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Very low energy consumption and long lasting LED lights</li>
<li>Waterproof(IP44) and can be used indoors or outdoors</li>
<li>Control box with 8 different lighting pattern function</li>
<li>Blink patterns: Combination, in waves, sequential, sloglo, chasing/flash, slow fade, winkle/flash&nbsp;and steady on</li>
<li>Very easy to set up and pack away</li>
<li>High quality and Australian safety certified</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Power Input: 100-240V, 50/60Hz</li>
<li>Power Adapter Output: 31V, 270mA 8.4W</li>
<li>Material:&nbsp;Waterproof High Quality PVC</li>
<li>Light Material:&nbsp;LED</li>
<li>Light Quantity: 300</li>
<li>Colour: Warm White</li>
<li>Total Length: 12m&nbsp;&nbsp;</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x 300 LED Icicle Lights</li>
<li>1x User Manual</li>
</ul>",2/10/2020,,taxable,None,1,10,5,,1,600,25,20,13,1,,35.1,99,"Default Category/All Products,Default Category/Christmas",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2599.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2484.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2436.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2493.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2492.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2409.jpg",,,,,Emitto,9.36E+12,Christmas,String Light,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CL1001-500LED-COOL,500 LED Curtain Fairy String Lights Wedding Outdoor Xmas Party Lights Cool White,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Very low energy consumption and long lasting LED lights</li>
<li>Waterproof(IP44) and can be used indoors or outdoors</li>
<li>Control box with 8 different lighting pattern function</li>
<li>Blink patterns: Combination, in waves, sequential, sloglo, chasing/flash, slow fade, winkle/flash&nbsp;and steady on</li>
<li>Very easy to set up and pack away</li>
<li>High quality and Australian safety certified</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Power Input: 100-240V, 50/60Hz</li>
<li>Power Adapter Output: 31V, 270mA 8.4W</li>
<li>Material:&nbsp;Waterproof High Quality PVC</li>
<li>Light Material:&nbsp;LED</li>
<li>Light Quantity: 500</li>
<li>Colour: Cool White</li>
<li>Total Length: 22m&nbsp;&nbsp;</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x 500 LED Icicle Lights</li>
<li>1x User Manual</li>
</ul>",2/10/2020,,taxable,None,1,10,5,,1,1000,30,20,13,1,,44.18,119,"Default Category/All Products,Default Category/Christmas",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2600.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2485.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2437.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2494.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2493.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2410.jpg",,,,,Emitto,9.36E+12,Christmas,String Light,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CL1001-500LED-WARM,500 LED Curtain Fairy String Lights Wedding Outdoor Xmas Party Lights Warm White,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Very low energy consumption and long lasting LED lights</li>
<li>Waterproof(IP44) and can be used indoors or outdoors</li>
<li>Control box with 8 different lighting pattern function</li>
<li>Blink patterns: Combination, in waves, sequential, sloglo, chasing/flash, slow fade, winkle/flash&nbsp;and steady on</li>
<li>Very easy to set up and pack away</li>
<li>High quality and Australian safety certified</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Power Input: 100-240V, 50/60Hz</li>
<li>Power Adapter Output: 31V, 270mA 8.4W</li>
<li>Material:&nbsp;Waterproof High Quality PVC</li>
<li>Light Material:&nbsp;LED</li>
<li>Light Quantity: 500</li>
<li>Colour: Warm White</li>
<li>Total Length: 22m&nbsp;&nbsp;</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x 500 LED Icicle Lights</li>
<li>1x User Manual</li>
</ul>",2/10/2020,,taxable,None,1,10,5,,1,800,30,20,13,1,,44.07,119,"Default Category/All Products,Default Category/Christmas",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2601.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2486.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2438.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2495.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2494.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2411.jpg",,,,,Emitto,9.36E+12,Christmas,String Light,0,0,0,0,0,0,0,0,0,,,,,,,,,
,simple,CL1001-COOL,800 LED Curtain Fairy String Lights Wedding Outdoor Xmas Party Lights Cool White,Yes,Yes,visible,,"<b>DESCRIPTION</b><ul>
<li>Very low energy consumption and long lasting LED lights</li>
<li>Waterproof(IP44) and can be used indoors or outdoors</li>
<li>Control box with 8 different lighting pattern function</li>
<li>Blink patterns: Combination, in waves, sequential, sloglo, chasing/flash, slow fade, winkle/flash&nbsp;and steady on</li>
<li>Very easy to set up and pack away</li>
<li>High quality and Australian safety certified</li>
</ul><b>SPECIFICATIONS</b><ul>
<li>Power Input: 100-240V, 50/60Hz</li>
<li>Power Adapter Output: 31V, 270mA 8.4W</li>
<li>Material:&nbsp;Waterproof High Quality PVC</li>
<li>Light Material:&nbsp;LED</li>
<li>Light Quantity: 800</li>
<li>Colour: Cool White</li>
<li>Total Length: 32m&nbsp;&nbsp;</li>
</ul><b>PACKAGE CONTENT</b><ul>
<li>1x 800 LED Icicle Lights</li>
<li>1x User Manual</li>
</ul>",2/10/2020,,taxable,None,0,10,5,,1,1300,20,14,11,1,,62.99,149,"Default Category/All Products,Default Category/Christmas",,,"https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship01_2602.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship02_2487.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship03_2439.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship04_2496.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship05_2495.jpg,https://www.idropship.com.au/pub/media/catalog/product/i/d/idropship06_2412.jpg",,,,,Unbranded,9.36E+12,Christmas,String Light,0,0,0,0,0,0,0,0,0,,,,,,,,,
